episode,reward,steps,reached_goal
0,0.87,14,1
1,0.87,14,1
2,0.87,14,1
3,0.87,14,1
4,0.87,14,1
5,0.87,14,1
6,0.87,14,1
7,0.87,14,1
8,0.87,14,1
9,0.87,14,1
10,0.87,14,1
11,0.87,14,1
12,0.87,14,1
13,0.87,14,1
14,0.87,14,1
15,0.87,14,1
16,0.87,14,1
17,0.87,14,1
18,0.87,14,1
19,0.87,14,1
20,0.87,14,1
21,0.87,14,1
22,0.87,14,1
23,0.87,14,1
24,0.87,14,1
25,0.87,14,1
26,0.87,14,1
27,0.87,14,1
28,0.87,14,1
29,0.87,14,1
30,0.87,14,1
31,0.87,14,1
32,0.87,14,1
33,0.87,14,1
34,0.87,14,1
35,0.87,14,1
36,0.87,14,1
37,0.87,14,1
38,0.87,14,1
39,0.87,14,1
40,0.87,14,1
41,0.87,14,1
42,0.87,14,1
43,0.87,14,1
44,0.87,14,1
45,0.87,14,1
46,0.87,14,1
47,0.87,14,1
48,0.87,14,1
49,0.87,14,1
50,0.87,14,1
51,0.87,14,1
52,0.87,14,1
53,0.87,14,1
54,0.87,14,1
55,0.87,14,1
56,0.87,14,1
57,0.87,14,1
58,0.87,14,1
59,0.87,14,1
60,0.87,14,1
61,0.87,14,1
62,0.87,14,1
63,0.87,14,1
64,0.87,14,1
65,0.87,14,1
66,0.87,14,1
67,0.87,14,1
68,0.87,14,1
69,0.87,14,1
70,0.87,14,1
71,0.87,14,1
72,0.87,14,1
73,0.87,14,1
74,0.87,14,1
75,0.87,14,1
76,0.87,14,1
77,0.87,14,1
78,0.87,14,1
79,0.87,14,1
80,0.87,14,1
81,0.87,14,1
82,0.87,14,1
83,0.87,14,1
84,0.87,14,1
85,0.87,14,1
86,0.87,14,1
87,0.87,14,1
88,0.87,14,1
89,0.87,14,1
90,0.87,14,1
91,0.87,14,1
92,0.87,14,1
93,0.87,14,1
94,0.87,14,1
95,0.87,14,1
96,0.87,14,1
97,0.87,14,1
98,0.87,14,1
99,0.87,14,1

success_rate,100
avg_steps,14
avg_reward,0.87
